Week One Flagella Regeneration in Various Densities,,,,,,,,,,,,,,,,,,,,,,,,
2C,flagella length (um) ,,,,,,,,,,,,4C,flagella length (um),,,,,,,,,,
Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um),,Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,5.8,5.8,6.3,7.6,4.1,5.2,5.6,6.5,5.4,6.1,5.8,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,5.3,4.7,6.0,5.4,4.0,7.1,5.5,5.8,7.2,4.5,5.6,,50.0,3.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
60.0,5.7,6.4,6.8,6.1,6.9,4.6,5.5,4.4,4.6,3.5,5.5,,70.0,3.4,3.3,3.3,5.3,3.5,3.4,4.4,3.3,0.0,0.0,3.0
75.0,6.9,6.6,5.9,5.3,8.3,6.8,6.8,6.5,5.7,8.2,6.7,,75.0,3.4,3.7,5.7,3.3,3.4,3.7,3.8,3.7,3.8,3.7,3.8
90.0,7.5,9.3,6.6,4.4,5.2,6.1,6.9,3.7,4.8,5.9,6.0,,90.0,4.1,3.5,3.7,3.4,5.1,3.7,4.1,3.4,4.8,3.5,3.9
,,,,,,,,,,,,,,,,,,,,,,,,
C,flagella length (um),,,,,,,,,,,,1/2C,flagella length (um),,,,,,,,,,
Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um),,Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
